136,"62 Place Henri Cadot","Rés. Montesquieu ","yes","62700","BRUAY LA BUISSIERE",2,,
137,"17 rue Jean Jaurès",,"yes","59860","BRUAY SUR ESCAUT",29,,
138,"243 rue Jean Jaurès",,"yes","59860","BRUAY SUR ESCAUT",28,,
139,"5 rue François Brasme",,"yes","62160","BULLY LES MINES",,,
140,"81 rue de Bailleul",,"yes","59190","CAESTRE",2,,
141,"16 Rue Antoine Bénard",,"yes","62100","CALAIS",,,
142,"16 rue Jean Jaurés",,"yes","62100","CALAIS",28,,
143,"2 rue Darnel",,"yes","62100","CALAIS",28,,
144,"23 rue Darnel",,"yes","62100","CALAIS",27,,
145,"24 Boulevard Gambetta",,"yes","62100","CALAIS",28,,
146,"3 rue Richelieu",,"yes","62100","CALAIS",28,,
147,"31 rue du Four à Chaux",,"yes","62100","CALAIS",28,,
148,"35 Boulevard Pasteur",,"yes","62100","CALAIS",28,,
149,"5 rue Darnel",,"yes","62100","CALAIS",28,,
150,"6 rue Antoine Bénard",,"yes","62100","CALAIS",28,,
151,"7 rue Paul Bert  ",,"yes","62100","CALAIS",28,,
152,"106 rue de Péronne",,"yes","59400","CAMBRAI",27,,
153,"11 Avenue Michelet",,"yes","59400","CAMBRAI",29,,
154,"12 Rue des Bouchers",,"yes","59400","CAMBRAI",8,,
155,"13 Place du 9 Octobre",,"yes","59400","CAMBRAI",29,,
156,"14 rue du Petit Séminaire",,"yes","59400","CAMBRAI",29,,
157,"18 bis rue de Péronne",,"yes","59400","CAMBRAI",2,,
158,"2 Avenue de la Victoire"," cabinet 1","yes","59400","CAMBRAI",27,,
159,"2 Bis rue de Lille",,"yes","59400","CAMBRAI",27,,
160,"3 rue des Ratelots",,"yes","59400","CAMBRAI",27,,
161,"5 avenue Foch",,"yes","59400","CAMBRAI",29,,
162,"55 Boulevard Vauban",,"yes","59400","CAMBRAI",16,,
163,"60 B rue de Cantimpre",,"yes","59400","CAMBRAI",27,,
164,"65 boulevard Vauban ",,"yes","59400","CAMBRAI",16,,
165,"74 rue St Georges",,"yes","59400","CAMBRAI",27,,
166,"8/10 rue du Canal",,"yes","59400","CAMBRAI",28,,
167,"9 avenue du Maréchal Foch",,"yes","59400","CAMBRAI",28,,
